"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Autenticación","3","0","Login rechazado","0"
"0","","0","Catálogo","1","0","Listado de productos","0"
"1","","0","Checkout","1","0","Validaciones de formulario","0"
"0","","0","Auditoría de defectos (problem_user)","0","2","Catálogo","0"
"0","","1","Carrito","2","0","Alta de productos","0"
"1","","0","Checkout","0","0","Compra de punta a punta","0"
"0","","0","Catálogo","2","0","Ordenamiento","0"
"0","","0","Autenticación","1","0","Login exitoso","0"
"0","","0","Auditoría de defectos (problem_user)","0","1","Checkout","0"
"0","","0","Carrito","1","0","Baja de productos","0"
